First Name,Surname,Age,DOB,TSB 30/6/2018,CC FYE 30/6/18,TSB 30/6/2019,CC FYE 30/6/19,TSB 30/6/20,CC FYE 30/6/20,TSB 30/6/21,CC 30/6/21,TSB 30/6/22,CC 30/6/22,,,,
Kathryn,Allison,52,7/03/1970,"$7,266","$3,560","$11,584","$5,340","$16,822","$21,360","$45,055","$17,800","$60,781","$13,720",,,,
Cassandra,Dunn,52,7/05/1970,"$7,299","$14,240","$23,047","$1,780","$24,678","$23,140","$56,425","$10,680","$64,891","$9,800",,,,
Sally,Nash,52,1/26/1970,"$7,261","$25,000","$34,520","$14,240","$48,467","$7,120","$65,593","$1,780","$65,150","$15,680",,,,
Anne-Marie,Ellis,53,3/21/1969,"$8,206","$14,240","$24,017","$23,140","$46,875","$3,560","$59,513","$12,460","$69,598","$25,480",,,,
Mark,Monroe,53,7/31/1968,"$8,186","$1,780","$10,664","$1,780","$12,369","$10,680","$27,198","$19,580","$45,234",$0,,,,
Karen,Bowman,53,9/19/1968,"$8,162","$12,460","$22,065","$21,360","$43,165","$7,120","$59,336","$10,680","$67,705","$1,960",,,,
Helen,Brewer,54,8/29/1967,"$8,148","$17,800","$27,764","$23,140","$50,599","$23,140","$87,012","$25,000","$108,315","$9,800",,,,
Kenneth,Ferrell,55,9/26/1966,"$15,098","$21,360","$39,010","$14,240","$52,930","$5,340","$68,759","$12,460","$78,539","$15,680",,,,
Paula,Good,55,3/07/1967,"$15,019","$12,460","$29,403","$12,460","$41,612","$23,140","$76,407","$3,560","$77,328","$21,560",,,,
Colleen,Johnston,55,2/17/1967,"$15,071","$17,800","$35,172","$8,900","$43,807","$21,360","$76,897","$1,780","$76,081","$25,480",,,,
Patricia,Boyer,55,2/03/1967,"$15,053","$1,780","$18,011","$16,020","$33,827","$3,560","$44,117","$25,000","$66,836","$13,720",,,,
Paul,Jarvis,56,2/28/1966,"$16,027","$10,680","$28,576","$14,240","$42,559","$5,340","$56,521","$14,240","$68,426","$7,840",,,,
Allan,Ho,56,1/11/1966,"$16,077","$10,680","$28,630","$8,900","$37,305","$1,780","$46,120","$1,780","$46,320","$23,520",,,,
Geoffrey,Petty,56,12/05/1965,"$16,018","$14,240","$32,376","$12,460","$44,567","$8,900","$63,091",$0,"$61,009","$15,680",,,,
Karyn,Stephens,56,12/02/1965,"$16,030","$5,340","$22,866","$21,360","$43,961","$7,120","$60,276","$12,460","$70,335","$17,640",,,,
Warren,Avila,57,2/01/1965,"$18,539","$25,000","$46,586","$5,340","$51,615","$1,780","$63,006","$1,780","$62,648","$1,960",,,,
Diana,Case,57,2/04/1965,"$18,562","$10,680","$31,289",$0,"$31,101","$23,140","$64,004","$3,560","$65,335","$27,500",,,,
Colin,Conrad,58,9/26/1963,"$18,509","$21,360","$42,660","$14,240","$56,559",$0,"$66,739","$17,800","$81,749","$19,600",,,,
Gerard,Schwartz,58,7/07/1964,"$18,542","$3,560","$23,649","$7,120","$30,585","$3,560","$40,291","$3,560","$42,404","$27,500",,,,
Damian,Macias,58,9/11/1963,"$47,793","$25,000","$77,889","$12,460","$89,807",$0,"$105,972","$19,580","$121,409","$27,500",,,,
Paul,Snyder,59,5/12/1963,"$47,782",$0,"$51,127","$19,580","$70,283","$5,340","$89,235","$17,800","$103,503","$15,680",,,,
Amanda,Bautista,59,7/21/1963,"$47,781","$16,020","$68,267","$25,000","$92,708","$14,240","$126,198","$21,360","$142,689","$5,880",,,,
Natalie,Hinton,59,7/16/1963,"$47,822","$7,120","$58,788",$0,"$58,436","$1,780","$71,055","$3,560","$72,152","$3,920",,,,
Sara,Zuniga,59,10/23/1962,"$59,058","$10,680","$74,620","$25,000","$99,022","$16,020","$135,750","$10,680","$141,597","$13,720",,,,
John,Jacobson,60,2/02/1962,"$59,040","$7,120","$70,791","$12,460","$82,751","$14,240","$114,450",$0,"$110,673","$5,880",,,,
Maria,Kidd,60,3/24/1962,"$59,051","$14,240","$78,422","$3,560","$81,490","$16,020","$115,062","$1,780","$112,986","$7,840",,,,
Jeffrey,Cline,60,7/04/1962,"$59,068","$23,140","$87,962","$17,800","$105,128","$10,680","$136,653","$21,360","$152,799","$1,960",,,,
Gary,Graves,60,2/13/1962,"$67,501","$1,780","$74,131","$10,680","$84,302","$5,340","$105,778","$1,780","$104,008","$3,920",,,,
Marianna,Horne,60,8/22/1961,"$67,454",$0,"$72,176","$7,120","$78,821","$7,120","$101,410","$14,240","$111,833","$19,600",,,,
Lawrence,Mcdonald,61,10/19/1960,"$67,480","$25,000","$98,954","$7,120","$105,437","$25,000","$153,916","$5,340","$154,000","$19,600",,,,
Richard,Bruce,61,12/08/1960,"$74,062","$19,580","$100,197","$7,120","$106,673","$10,680","$138,476","$7,120","$140,792","$17,640",,,,
Mark,Hatfield,61,6/11/1961,"$74,086",$0,"$79,272","$8,900","$87,643","$10,680","$116,021","$14,240","$125,963","$5,880",,,,
Ernest,Munoz,61,6/05/1961,"$74,018","$25,000","$105,949","$3,560","$108,852","$23,140","$155,751","$7,120","$157,496",$0,,,,
Nicola,Pruitt,61,10/15/1960,"$92,617","$7,120","$106,719","$16,020","$122,002","$17,800","$164,967","$7,120","$166,408",$0,,,,
Barbara,Tran,61,9/11/1960,"$92,620","$1,780","$101,008","$21,360","$121,634",$0,"$143,528","$19,580","$157,726","$11,760",,,,
Susan,Valenzuela,62,9/12/1959,"$92,584","$25,000","$125,815","$3,560","$128,599","$14,240","$168,550","$19,580","$181,921","$25,480",,,,
Kym ,Mejia,62,12/17/1959,"$116,391","$12,460","$137,871","$7,120","$144,121","$21,360","$195,268","$21,360","$209,479","$3,920",,,,
Margaret,Berger,62,8/04/1959,"$116,375","$5,340","$130,236","$19,580","$148,917","$12,460","$190,424","$3,560","$187,583","$17,640",,,,
Justin,Haynes,63,5/22/1959,"$116,375","$23,140","$149,281","$25,000","$173,235","$19,580","$227,522","$10,680","$230,342","$1,960",,,,
Sandra,Romero,63,7/03/1959,"$126,667","$14,240","$150,771","$23,140","$172,867","$16,020","$222,887","$5,340","$220,695","$3,920",,,,
Sharan,Moss,63,3/24/1959,"$126,643","$10,680","$146,936","$1,780","$147,824","$5,340","$180,733","$23,140","$197,145","$19,600",,,,
Lucie,Mcneil,63,3/19/1959,"$126,657","$14,240","$150,760","$21,360","$171,087","$19,580","$224,988","$25,000","$241,738","$1,960",,,,
Monica,Espinoza,63,6/06/1959,"$151,920","$10,680","$173,982","$10,680","$183,554","$17,800","$237,598","$23,140","$252,134","$7,840",,,,
Michael,Thornton,64,4/18/1958,"$151,996","$21,360","$185,491","$14,240","$198,533","$14,240","$251,072","$7,120","$249,671","$19,600",,,,
Diane,Jennings,64,8/15/1957,"$151,905","$23,140","$187,298","$17,800","$203,867","$3,560","$244,764","$12,460","$248,736","$7,840",,,,
Rosaleen,Rojas,64,2/01/1958,"$168,239","$5,340","$185,730","$16,020","$200,539","$19,580","$259,741","$23,140","$273,546",$0,,,,
Ian,Bond,64,7/21/1958,"$168,235","$19,580","$200,962","$5,340","$205,064",$0,"$241,976","$14,240","$247,761","$13,720",,,,
Pauline,Turner,64,6/07/1958,"$168,236","$19,580","$200,963",$0,"$199,757","$17,800","$256,717","$14,240","$262,016","$11,760",,,,
James,Avery,65,8/12/1956,"$211,060","$1,780","$227,739","$1,780","$228,142",$0,"$269,207","$5,340","$265,487","$25,480",,,,
Sally,Pineda,65,11/02/1956,"$211,016","$16,020","$242,929","$3,560","$245,010","$7,120","$297,513","$5,340","$292,859","$23,520",,,,
Carol,Valdez,65,11/10/1956,"$211,080","$25,000","$252,605","$16,020","$267,014","$17,800","$336,080","$14,240","$338,760","$19,600",,,,
Vicki,Kim,65,6/22/1957,"$250,082","$23,140","$292,348","$25,000","$315,444","$21,360","$397,428",$0,"$384,313","$17,640",,,,
Sharon ,Powers,65,10/08/1956,"$250,070",$0,"$267,575","$19,580","$285,432","$21,360","$362,014","$12,460","$362,116",$0,,,,
Erin,Mcmahon,65,2/22/1957,"$250,027","$5,340","$273,243","$23,140","$294,604","$7,120","$356,035","$7,120","$351,171","$5,880",,,,
Catherine,Bray,65,1/26/1957,"$300,034","$21,360","$343,891","$25,000","$366,678","$1,780","$434,780","$16,020","$435,924","$17,640",,,,
Gregory,Howell,66,4/18/1956,"$300,064","$17,800","$340,114","$10,680","$348,689","$10,680","$424,056","$8,900","$418,668","$21,560",,,,
Meryl,Simpson,66,9/05/1955,"$300,023","$17,800","$340,070","$10,680","$348,646","$23,140","$438,707","$16,020","$439,721","$23,520",,,,
John,Charles,66,11/16/1955,"$309,374","$12,460","$344,362","$5,340","$347,604","$14,240","$426,976","$1,780","$414,607","$23,520",,,,
Jane,Leon,67,10/11/1954,"$309,388","$16,020","$348,186","$17,800","$363,790",$0,"$429,273","$23,140","$437,483","$13,720",,,,
Raymond,Davis,67,7/27/1954,"$309,392","$8,900","$340,572","$1,780","$340,298","$19,580","$424,656","$8,900","$419,249","$11,760",,,,
Jeffrey,Figueroa,67,7/11/1955,"$317,856","$10,680","$351,534","$5,340","$354,732","$16,020","$437,488","$25,000","$447,226","$21,560",,,,
Judith,Casey,67,7/20/1955,"$317,893","$16,020","$357,287","$1,780","$356,912","$17,800","$442,160","$8,900","$436,175","$25,480",,,,
Jacqueline,Mullen,67,9/15/1954,"$317,901","$3,560","$343,964","$7,120","$348,977","$1,780","$413,893","$12,460","$412,284","$27,500",,,,
Meryl,Swanson,67,2/06/1955,"$340,118","$7,120","$371,545","$23,140","$392,316",$0,"$462,933","$21,360","$468,312","$7,840",,,,
Annette,Chang,67,9/07/1954,"$340,132","$1,780","$365,846","$12,460","$376,036","$12,460","$458,425","$8,900","$451,903","$15,680",,,,
Mark ,Campbell,68,3/20/1954,"$340,057","$21,360","$386,717","$8,900","$393,243","$3,560","$468,228","$25,000","$476,951","$9,800",,,,
Peter,George,68,7/14/1954,"$357,230","$19,580","$403,187","$16,020","$416,692","$21,360","$516,901","$10,680","$510,171","$21,560",,,,
Glenn,Morse,68,2/07/1954,"$357,212","$8,900","$391,740","$19,580","$408,852","$14,240","$499,248","$16,020","$498,264","$11,760",,,,
Fiona,Barber,68,8/31/1953,"$357,195","$12,460","$395,530","$21,360","$414,389","$12,460","$503,682","$25,000","$511,235","$23,520",,,,
Linda,Benson,68,7/24/1954,"$454,481","$16,020","$503,436","$23,140","$523,416","$19,580","$640,736","$21,360","$640,246","$3,920",,,,
Stephen,Castro,69,7/14/1953,"$454,434","$17,800","$505,290","$3,560","$505,797","$25,000","$626,341","$3,560","$609,114","$11,760",,,,
Penelope,Holland,69,4/04/1953,"$454,422","$25,000","$512,982","$19,580","$529,367","$12,460","$639,355","$7,120","$625,142","$3,920",,,,
Cheryl,Todd,69,9/23/1952,"$485,356","$3,560","$523,141",$0,"$520,002","$8,900","$624,104","$16,020","$619,000","$9,800",,,,
Ricky,Horn,70,2/26/1952,"$485,318","$23,140","$544,050","$21,360","$562,017","$16,020","$682,084","$12,460","$671,624","$1,960",,,,
Kevin,Clarke,70,9/08/1951,"$485,345","$1,780","$521,224",$0,"$518,097",$0,"$611,354","$5,340","$596,343","$23,520",,,,
Martin,Boyd,70,9/29/1951,"$508,389","$3,560","$547,785","$19,580","$563,961","$3,560","$669,675","$21,360","$668,231","$5,880",,,,
Knud,Montgomery,71,6/05/1951,"$508,469","$10,680","$555,490","$16,020","$568,081","$25,000","$699,835","$1,780","$678,462","$5,880",,,,
Adelle,Nelson,71,5/16/1951,"$508,427",$0,"$544,017",$0,"$540,753","$3,560","$642,290","$7,120","$627,979","$9,800",,,,
Denise,Sampson,72,11/20/1949,"$661,294","$17,800","$726,631","$7,120","$729,348","$8,900","$871,133",$0,"$842,385","$25,480",,,,
Chris,Chandler,72,1/27/1950,"$661,292","$8,900","$717,105","$8,900","$721,649","$17,800","$872,550","$5,340","$848,920","$7,840",,,,
Roderick,Ruiz,72,5/06/1950,"$661,246","$5,340","$713,247","$3,560","$712,506","$25,000","$870,257","$23,140","$863,915","$21,560",,,,
Raymond,Andrade,72,7/10/1950,"$692,773",$0,"$741,267","$17,800","$754,513","$8,900","$900,827",$0,"$871,100","$1,960",,,,
Susan,Fry,73,6/24/1949,"$692,684","$5,340","$746,885","$10,680","$753,020","$25,000","$918,064","$10,680","$898,095","$13,720",,,,
Anne,Rubio,73,2/08/1949,"$692,696","$12,460","$754,516","$7,120","$757,067","$8,900","$903,841","$23,140","$896,390","$15,680",,,,
Ian,Mosley,74,9/29/1947,"$754,512","$3,560","$811,137","$12,460","$818,656","$10,680","$978,616","$3,560","$949,764","$3,920",,,,
Timothy,Yates,74,6/10/1948,"$754,508","$3,560","$811,132","$1,780","$808,035","$17,800","$974,485","$5,340","$947,491","$9,800",,,,
Richard,Rich,74,3/05/1948,"$754,503","$12,460","$820,651","$8,900","$824,573","$25,000","$1,002,497","$5,340","$974,578","$25,480",,,,
Bernadette,Chavez,74,1/02/1948,"$781,095",$0,"$835,772",$0,"$830,757","$21,360","$1,005,498","$8,900","$980,923","$11,760",,,,
Caroline,Forbes,74,2/28/1948,"$781,151","$1,780","$837,736","$16,020","$848,633","$1,780","$1,003,488","$19,580","$989,307","$19,600",,,,
Paula,Steele,75,8/21/1946,"$781,086","$16,020","$852,904","$14,240","$861,941","$12,460","$1,031,793","$8,900","$1,006,350","$17,640",,,,
Laraine,Simon,75,12/03/1946,"$948,063",$0,"$1,014,428","$8,900","$1,017,188","$16,020","$1,219,185","$8,900","$1,187,558","$17,640",,,,
Ernest,Hodge,75,6/11/1947,"$948,043","$8,900","$1,023,929","$1,780","$1,019,555","$8,900","$1,213,577",$0,"$1,173,529","$19,600",,,,
Lynette,Floyd,75,10/18/1946,"$948,052","$19,580","$1,035,366","$17,800","$1,046,847","$5,340","$1,241,581","$17,800","$1,217,821","$25,480",,,,
Lawrence,Huynh,76,8/09/1945,"$1,103,533","$16,020","$1,197,922","$23,140","$1,213,735","$19,580","$1,455,312","$10,680","$1,417,614","$27,500",,,,
Barbara,Flowers,77,4/24/1945,"$1,103,506","$21,360","$1,203,607","$1,780","$1,198,154","$23,140","$1,441,127","$19,580","$1,412,504","$1,960",,,,
Robert,Bryant,78,10/28/1943,"$1,320,019","$21,360","$1,435,275","$25,000","$1,451,514","$1,780","$1,714,886","$16,020","$1,673,786","$3,920",,,,
Phelim,Gray,83,2/11/1939,"$1,320,064","$21,360","$1,435,324","$23,140","$1,449,713","$3,560","$1,714,862","$10,680","$1,668,599","$1,960",,,,
Doug,Houston,87,4/01/1935,"$2,821,465","$8,900","$3,028,491","$10,680","$3,020,936","$5,340","$3,571,005","$7,120","$3,460,047",$0,,,,
,,,,,,,,,,,,,,,,,
